Département,Chef-Lieu ou Capitale,Superficie (km²)
Artibonite,Les Gonaïves,4984
Centre,Hinche,3675
Grande'Anse,Jérémie,1871
Nippes,Miragoâne,1268
Nord,Cap-Haïtien,2106
Nord-Est,Fort-Liberté,1805
Nord-Ouest,Port-de-Paix,2176
Ouest,Port-au-Prince,4827
Sud,Les Cayes,2794
Sud-Est,Jacmel,2023
