adm0code,adm0_en,adm1_en,adm1_fr,IHSI_UNFPA_2019
HT,Haiti,West,Ouest,5010205
HT,Haiti,South-East,Sud-Est,893900
HT,Haiti,North,Nord,1159761
HT,Haiti,North-East,Nord-Est,444463
HT,Haiti,Artibonite,Artibonite,2047152
HT,Haiti,Centre,Centre,845594
HT,Haiti,South,Sud,791084
HT,Haiti,Grande'Anse,Grande'Anse,481065
HT,Haiti,North-West,Nord-Ouest,868580
HT,Haiti,Nippes,Nippes,351593
