Name,Type,Category,Country,lat,lon,test
Farmacia Olimpica 1,node,pharmacy,DO,19.2248664,-70.5227244,19.2248664 / -70.5227244
Farmacia San Pancracio,node,pharmacy,DO,19.2245533,-70.5271194,19.2245533 / -70.5271194
Farma Xtra,node,pharmacy,DO,18.4309345,-69.9727876,18.4309345 / -69.9727876
Farmacia O&D,node,pharmacy,DO,18.4324431,-69.9656824,18.4324431 / -69.9656824
unknown name,node,pharmacy,DO,19.4583791,-70.6983898,19.4583791 / -70.6983898
farmacia la fuente II,node,pharmacy,DO,19.4586089,-70.700897,19.4586089 / -70.700897
Farmacia Villa Fundacion,node,pharmacy,DO,18.2806929,-70.497339,18.2806929 / -70.497339
Farmacia San José,node,pharmacy,DO,18.9076465,-70.74475,18.9076465 / -70.74475
Carol,node,pharmacy,DO,18.4712515,-69.9141538,18.4712515 / -69.9141538
Farmax,node,pharmacy,DO,18.4669715,-69.8955471,18.4669715 / -69.8955471
Farmacia Europa,node,pharmacy,DO,18.4805505,-69.9286994,18.4805505 / -69.9286994
Farmacia Los Hidalgos,node,pharmacy,DO,18.4847091,-69.8404105,18.4847091 / -69.8404105
Farmax,node,pharmacy,DO,18.4651933,-69.928971,18.4651933 / -69.928971
Farmacia Dary's,node,pharmacy,DO,19.4551883,-70.6849719,19.4551883 / -70.6849719
Farmacia Rosina,node,pharmacy,DO,18.4910419,-69.904287,18.4910419 / -69.904287
Farmacia Rita,node,pharmacy,DO,18.4864578,-69.9065505,18.4864578 / -69.9065505
Farma Express,node,pharmacy,DO,18.5082462,-69.9483115,18.5082462 / -69.9483115
Farmacia San Rafael,node,pharmacy,DO,19.7638014,-70.5140455,19.7638014 / -70.5140455
Pharmacia Sosua,node,pharmacy,DO,19.7632476,-70.5164528,19.7632476 / -70.5164528
Farmacia Doña Rosa,node,pharmacy,DO,18.4852176,-69.9978415,18.4852176 / -69.9978415
Farmacia Romy,node,pharmacy,DO,18.4704923,-69.9727572,18.4704923 / -69.9727572
Farmacia ALLAN,node,pharmacy,DO,19.3148053,-70.540369,19.3148053 / -70.540369
